TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
19.3,29.4,23.7,84.0,0.0,9.2,3,260.0,2,SW
21.4,31.2,25.1,82.0,0.0,9.3,4,200.0,2,S 
22.4,33.2,26.9,81.0,0.0,6.4,2,190.0,1,S 
23.2,31.0,26.1,85.0,0.0,7.9,4,180.0,2,S 
22.6,31.4,25.8,83.0,0.1,7.3,4,240.0,1,S 
20.6,31.8,25.7,80.0,0.0,4.4,2,180.0,1,S 
22.2,32.4,26.6,82.0,0.0,6.7,3,270.0,2,S 
23.2,30.0,25.7,84.0,0.0,6.6,4,270.0,2,W 
22.3,31.2,25.8,83.0,0.0,3.4,4,260.0,2,S 
22.2,31.6,26.0,78.0,0.0,7.3,2,240.0,1,S 
21.4,32.4,26.2,80.0,0.0,8.4,4,240.0,2,S 
21.8,32.8,26.4,76.0,0.0,9.6,2,250.0,1,C 
21.6,32.8,25.8,76.0,0.0,8.9,4,190.0,2,S 
21.2,31.0,25.5,80.0,0.0,10.4,4,180.0,2,SW
22.2,31.6,25.7,80.0,0.0,8.2,5,200.0,2,S 
23.5,32.4,26.9,80.0,0.0,7.4,3,180.0,2,S 
22.6,31.6,25.9,81.0,0.0,8.9,2,210.0,1,SW
22.2,31.7,25.8,86.0,0.0,9.1,4,180.0,2,S 
23.6,32.4,26.3,83.0,6.713162705667276,7.6,4,290.0,2,SW
22.6,32.8,26.2,84.0,0.0,10.0,5,220.0,2,SW
23.2,32.2,26.0,85.0,0.0,9.4,5,210.0,2,S 
23.0,31.6,26.3,82.0,0.0,10.0,7,200.0,2,S 
22.7,31.4,25.9,83.0,0.0,9.5,4,170.0,3,S 
22.8,31.2,26.0,80.0,0.0,8.6,3,190.0,1,S 
23.6,32.2,27.1,82.0,0.0,6.8,4,180.0,3,S 
23.4,33.4,27.6,77.0,0.0,6.7,3,210.0,1,SW
23.2,33.9,27.7,81.0,0.0,8.5,4,180.0,2,S 
23.9,32.4,27.1,83.0,0.0,8.8,3,230.0,2,SW
23.8,34.0,27.9,82.0,0.0,7.6,4,240.0,2,SW
22.6,34.6,27.7,79.0,0.0,8.2,3,240.0,2,S 
23.0,32.2,26.6,83.0,0.0,8.7,2,260.0,1,S 
22.1,32.7,26.8,77.0,0.0,6.7,4,230.0,3,S 
22.4,33.4,26.7,81.0,0.0,9.4,2,30.0,1,NE
23.5,33.4,28.0,78.0,0.0,7.8,4,250.0,2,SW
24.4,33.4,27.6,82.0,0.0,8.5,5,260.0,2,SW
23.8,34.6,27.8,80.0,0.0,9.0,4,220.0,2,S 
23.6,34.0,27.7,78.0,0.0,9.2,4,240.0,1,W 
23.8,33.8,27.8,80.0,0.0,9.0,4,260.0,2,W 
22.4,32.2,26.1,84.0,0.0,8.5,2,230.0,1,SW
22.8,33.6,26.9,81.0,0.0,8.0,2,210.0,1,SW
22.8,33.4,27.0,80.0,0.0,8.3,4,200.0,2,SW
22.8,32.4,26.3,81.0,0.0,7.2,6,220.0,2,SW
22.6,33.0,26.3,82.0,0.0,10.1,6,220.0,2,SW
24.0,32.0,29.3,85.0,0.0,8.0,3,200.0,2,S 
23.6,33.2,27.6,81.0,0.0,9.3,2,160.0,1,S 
24.0,33.0,28.0,81.0,0.0,9.3,4,230.0,2,S 
25.0,34.0,28.5,82.0,0.0,8.6,4,240.0,2,S 
24.8,33.3,28.0,83.0,0.0,9.4,3,180.0,1,S 
23.6,33.0,27.5,83.0,6.713162705667276,10.0,4,240.0,2,SW
24.4,33.2,27.8,82.0,0.0,9.4,5,240.0,2,SW
24.8,32.7,30.0,75.0,0.0,9.9,4,200.0,2,S 
25.2,33.8,30.8,73.0,0.0,8.9,4,200.0,2,S 
25.0,33.8,30.9,74.0,0.0,7.8,4,240.0,2,S 
24.0,35.2,31.5,66.0,0.0,8.7,2,260.0,1,S 
24.9,35.4,31.1,70.0,0.0,9.6,3,170.0,2,SW
25.5,34.4,30.8,71.0,0.0,6.8,5,210.0,2,S 
26.4,34.1,31.0,72.0,0.0,6.4,5,210.0,2,SW
25.4,34.0,30.5,72.0,0.0,7.4,4,200.0,2,SW
25.4,33.2,29.6,74.0,0.0,9.1,2,260.0,1,W 
24.1,33.7,30.0,75.0,0.0,6.6,4,250.0,2,W 
24.2,33.4,30.0,77.0,6.713162705667276,9.2,2,200.0,1,S 
24.7,33.8,30.5,70.0,0.0,6.7,5,220.0,2,S 
25.2,32.6,29.6,77.0,0.0,8.1,4,210.0,2,SW
25.0,32.2,28.2,83.0,1.5,7.1,4,210.0,2,SW
25.4,33.0,28.9,84.0,12.0,2.2,2,210.0,0,C 
25.8,32.5,29.7,80.0,4.5,3.6,3,210.0,1,S 
25.1,32.8,29.6,80.0,1.1,3.4,4,200.0,3,S 
25.0,32.0,28.9,84.0,57.0,5.5,3,240.0,1,SW
25.0,33.2,30.0,73.0,0.0,5.2,4,180.0,2,S 
23.8,32.6,29.4,74.0,0.0,8.1,4,180.0,2,S 
24.4,31.8,29.1,76.0,22.0,7.8,6,190.0,4,SW
24.8,31.6,28.7,81.0,0.0,9.1,4,180.0,2,S 
25.0,32.6,29.9,77.0,7.6,6.4,4,190.0,2,SW
25.5,33.0,30.1,78.0,0.0,6.1,5,190.0,3,SW
26.2,32.4,29.9,82.0,0.0,7.8,2,260.0,1,W 
26.0,32.2,28.9,82.0,0.4,0.1,4,200.0,2,S 
25.6,33.0,29.2,80.0,0.0,3.4,5,220.0,2,SW
25.3,32.4,29.5,76.0,0.0,2.8,5,220.0,3,SW
24.2,32.4,29.5,75.0,0.0,7.3,3,180.0,2,S 
25.0,29.0,26.8,91.0,6.713162705667276,6.2,2,240.0,1,W 
23.3,31.5,28.0,85.0,53.1,1.7,4,180.0,2,S 
25.2,31.2,28.4,84.0,21.0,2.3,3,210.0,2,SW
24.6,28.8,26.4,90.0,16.0,3.4,5,240.0,2,SW
24.0,31.6,27.9,83.0,1.0,0.1,5,220.0,3,SW
25.0,31.5,28.1,85.0,0.0,3.5,6,210.0,3,S 
25.0,32.3,28.8,83.0,2.8,4.2,4,180.0,2,S 
24.2,29.8,27.3,90.0,4.1,2.7,3,240.0,2,S 
24.7,32.7,29.7,78.0,0.1,2.1,4,200.0,2,NE
24.7,31.8,29.4,79.0,0.0,9.0,4,240.0,2,S 
25.3,32.2,29.8,78.0,0.0,8.4,4,230.0,3,S 
25.1,32.8,29.7,75.0,0.0,7.9,6,210.0,3,SW
25.0,29.0,27.0,92.0,0.6,8.1,3,220.0,2,SW
24.9,32.2,29.1,78.0,1.0,0.3,3,190.0,2,S 
23.6,32.2,29.5,74.0,0.0,7.4,4,200.0,3,S 
23.7,32.0,29.1,78.0,0.0,10.0,4,190.0,3,S 
24.8,32.2,29.6,75.0,0.5,5.7,2,180.0,1,W 
23.6,33.0,29.8,69.0,0.0,9.7,3,180.0,2,S 
23.2,32.4,29.5,73.0,0.0,10.0,6,240.0,3,SW
24.2,32.0,29.2,74.0,0.0,9.3,6,190.0,4,SW
25.3,32.6,29.6,72.0,0.0,8.3,3,180.0,2,S 
23.8,32.0,29.2,70.0,0.0,9.0,3,220.0,2,SW
22.2,32.4,29.0,70.0,0.0,8.6,4,200.0,2,S 
21.5,33.0,29.4,70.0,0.0,7.8,3,180.0,2,S 
24.6,33.0,29.9,71.0,0.0,9.3,5,210.0,4,SW
23.0,33.6,30.1,68.0,0.0,8.9,6,200.0,3,SW
23.8,33.6,30.3,69.0,0.0,8.1,5,230.0,3,SW
23.8,34.6,30.1,72.0,0.0,9.3,5,210.0,2,SW
23.8,33.4,30.4,70.0,0.0,6.4,3,210.0,1,SW
24.6,33.6,30.3,74.0,0.0,4.0,3,200.0,2,SW
25.0,34.4,28.9,82.0,6.713162705667276,4.5,4,170.0,1,C 
24.6,33.2,29.7,81.0,14.3,3.4,4,180.0,1,S 
25.4,33.4,29.5,82.0,4.0,4.3,6,210.0,3,SW
25.4,33.0,29.3,84.0,6.0,4.8,6,210.0,3,SW
24.8,33.2,30.5,78.0,6.713162705667276,3.4,4,230.0,2,SW
25.4,32.0,29.9,79.0,0.8,7.8,5,220.0,4,SW
25.8,32.2,27.8,86.0,0.0,7.5,5,90.0,2,C 
23.8,32.8,27.9,83.0,4.3,2.4,4,202.8481421647819,2,S 
23.6,32.2,27.2,87.0,26.1,4.1,5,210.0,2,SW
23.8,31.8,28.3,85.0,11.9,2.6,4,190.0,1,C 
25.2,31.4,27.3,90.0,17.6,4.6,3,240.0,2,SE
24.2,31.8,28.2,86.0,20.9,0.6,2,180.0,1,C 
24.6,32.5,29.1,82.0,0.8,0.7,4,200.0,2,S 
24.5,33.4,29.0,83.0,0.0,5.0,6,220.0,2,SW
24.6,32.6,29.5,81.0,8.7,7.2,2,240.0,1,S 
24.3,31.8,29.3,79.0,0.0,4.5,6,230.0,4,SW
24.0,31.2,28.7,79.0,0.0,8.6,3,240.0,2,W 
24.3,32.8,29.8,72.0,6.713162705667276,5.7,6,200.0,3,SW
24.8,32.0,29.6,77.0,0.0,8.2,5,210.0,2,S 
25.1,33.2,29.9,77.0,0.0,3.4,4,240.0,2,SW
25.0,29.9,27.9,86.0,0.0,7.0,5,290.0,2,S 
24.0,26.8,25.1,96.0,39.0,0.3,3,180.0,2,W 
23.8,29.8,25.9,92.0,102.7,0.0,4,260.0,2,W 
23.0,31.2,28.6,81.0,29.0,1.3,8,240.0,4,SW
23.8,29.4,26.9,90.0,30.9,7.3,6,240.0,3,SW
24.4,31.4,29.1,81.0,24.5,0.2,3,240.0,1,W 
22.6,30.5,27.2,86.0,40.1,7.4,4,250.0,2,SW
23.8,31.7,28.5,83.0,0.6,2.8,6,240.0,2,W 
24.2,33.0,29.9,76.0,3.5,5.3,4,240.0,2,SW
